step,n_active,fused_resident_qubits,fused_transient_qubits,fused_resident_dim,fused_transient_dim
0,0,0,0,1,1
1,0,0,0,1,1
2,0,0,0,1,1
3,0,0,0,1,1
4,0,0,0,1,1
5,0,0,0,1,1
6,0,0,0,1,1
7,0,0,0,1,1
8,0,0,0,1,1
9,0,0,0,1,1
10,0,0,0,1,1
11,0,0,0,1,1
12,0,0,0,1,1
13,0,0,0,1,1
14,0,0,0,1,1
15,0,0,0,1,1
16,0,0,0,1,1
17,0,0,0,1,1
18,0,0,0,1,1
19,0,0,0,1,1
20,0,0,0,1,1
21,0,0,0,1,1
22,0,0,0,1,1
23,0,0,0,1,1
24,0,0,0,1,1
25,0,0,0,1,1
26,0,0,0,1,1
27,0,0,0,1,1
28,0,0,0,1,1
29,0,0,0,1,1
30,0,0,0,1,1
31,0,0,0,1,1
32,0,0,0,1,1
33,0,0,0,1,1
34,0,0,0,1,1
35,0,0,0,1,1
36,0,0,0,1,1
37,0,0,0,1,1
38,0,0,0,1,1
39,0,0,0,1,1
40,0,0,0,1,1
41,0,0,0,1,1
42,0,0,0,1,1
43,0,0,0,1,1
44,0,0,0,1,1
45,0,0,0,1,1
46,0,0,0,1,1
47,0,0,0,1,1
48,1,0,0,1,1
49,1,0,0,1,1
50,1,0,0,1,1
51,2,0,0,1,1
52,2,0,0,1,1
53,2,0,0,1,1
54,3,0,0,1,1
55,3,0,0,1,1
56,3,0,0,1,1
57,4,0,0,1,1
58,4,0,0,1,1
59,4,0,0,1,1
60,4,0,0,1,1
61,4,0,0,1,1
62,4,0,0,1,1
63,4,0,0,1,1
64,4,0,0,1,1
65,4,0,0,1,1
66,4,0,0,1,1
67,4,0,0,1,1
68,4,0,0,1,1
69,4,0,0,1,1
70,4,0,0,1,1
71,4,0,0,1,1
72,4,0,0,1,1
73,4,0,0,1,1
74,4,0,0,1,1
75,4,0,0,1,1
76,4,0,0,1,1
77,4,0,0,1,1
78,4,0,0,1,1
79,4,0,0,1,1
80,4,0,0,1,1
81,4,0,0,1,1
82,4,0,0,1,1
83,4,0,0,1,1
84,4,0,0,1,1
85,4,0,0,1,1
86,4,0,0,1,1
87,4,0,0,1,1
88,4,0,0,1,1
89,4,0,0,1,1
90,4,0,0,1,1
91,4,0,0,1,1
92,4,0,0,1,1
93,4,0,0,1,1
94,4,0,0,1,1
95,4,0,0,1,1
96,4,0,0,1,1
97,4,0,0,1,1
98,4,0,0,1,1
99,4,0,0,1,1
100,4,0,0,1,1
101,4,0,0,1,1
102,4,0,0,1,1
103,4,0,0,1,1
104,4,0,0,1,1
105,4,0,0,1,1
106,4,0,0,1,1
107,4,0,0,1,1
108,4,0,0,1,1
109,4,0,0,1,1
110,4,0,0,1,1
111,4,0,0,1,1
112,4,0,0,1,1
113,4,0,0,1,1
114,4,0,0,1,1
115,4,0,0,1,1
116,4,0,0,1,1
117,4,0,0,1,1
118,4,0,0,1,1
119,4,0,0,1,1
120,4,0,0,1,1
121,4,0,0,1,1
122,4,0,0,1,1
123,4,0,0,1,1
124,4,0,0,1,1
125,4,0,0,1,1
126,4,0,0,1,1
127,4,0,0,1,1
128,4,0,0,1,1
129,4,0,0,1,1
130,4,0,0,1,1
131,4,0,0,1,1
132,4,0,0,1,1
133,4,0,0,1,1
134,4,0,0,1,1
135,4,0,0,1,1
136,4,0,0,1,1
137,4,0,0,1,1
138,4,0,0,1,1
139,4,0,0,1,1
140,4,0,0,1,1
141,4,0,0,1,1
142,4,0,0,1,1
143,4,0,0,1,1
144,4,0,0,1,1
145,4,0,0,1,1
146,4,0,0,1,1
147,4,0,0,1,1
148,4,0,0,1,1
149,4,0,0,1,1
150,5,0,0,1,1
151,5,0,0,1,1
152,4,0,1,1,2
153,4,0,0,1,1
154,4,0,0,1,1
155,4,0,0,1,1
156,4,0,0,1,1
157,4,0,0,1,1
158,4,0,0,1,1
159,5,0,0,1,1
160,5,0,0,1,1
161,4,0,1,1,2
162,4,0,0,1,1
163,4,0,0,1,1
164,4,0,0,1,1
165,4,0,0,1,1
166,4,0,0,1,1
167,4,0,0,1,1
168,4,0,0,1,1
169,4,0,0,1,1
170,4,0,0,1,1
171,4,0,0,1,1
172,4,0,0,1,1
173,4,0,0,1,1
174,4,0,0,1,1
175,5,0,0,1,1
176,5,0,0,1,1
177,4,0,1,1,2
178,4,0,0,1,1
179,4,0,0,1,1
180,4,0,0,1,1
181,4,0,0,1,1
182,4,0,0,1,1
183,4,0,0,1,1
184,5,0,0,1,1
185,5,0,0,1,1
186,4,0,1,1,2
187,4,0,0,1,1
188,4,0,0,1,1
189,4,0,0,1,1
190,4,0,0,1,1
191,4,0,0,1,1
192,4,0,0,1,1
193,4,0,0,1,1
194,4,0,0,1,1
195,4,0,0,1,1
196,4,0,0,1,1
197,4,0,0,1,1
198,4,0,0,1,1
199,4,0,0,1,1
200,4,0,0,1,1
201,4,0,0,1,1
202,4,0,0,1,1
203,4,0,0,1,1
